"","Title","Author","Subject","Abstract","Meta"
"11","Enhancing Interactive Image Retrieval With Query Rewriting Using Large Language Models and Vision Language Models","Hongyi Zhu, Jia-Hong Huang, Stevan Rudinac, Evangelos Kanoulas","Multimedia (cs.MM)","Image search stands as a pivotal task in multimedia and computer vision, finding applications across diverse domains, ranging from internet search to medical diagnostics. Conventional image search systems operate by accepting textual or visual queries, retrieving the top-relevant candidate results from the database. However, prevalent methods often rely on single-turn procedures, introducing potential inaccuracies and limited recall. These methods also face the challenges, such as vocabulary mismatch and the semantic gap, constraining their overall effectiveness. To address these issues, we propose an interactive image retrieval system capable of refining queries based on user relevance feedback in a multi-turn setting. This system incorporates a vision language model (VLM) based image captioner to enhance the quality of text-based queries, resulting in more informative queries with each iteration. Moreover, we introduce a large language model (LLM) based denoiser to refine text-based query expansions, mitigating inaccuracies in image descriptions generated by captioning models. To evaluate our system, we curate a new dataset by adapting the MSR-VTT video retrieval dataset to the image retrieval task, offering multiple relevant ground truth images for each query. Through comprehensive experiments, we validate the effectiveness of our proposed system against baseline methods, achieving state-of-the-art performance with a notable 10\% improvement in terms of recall. Our contributions encompass the development of an innovative interactive image retrieval system, the integration of an LLM-based denoiser, the curation of a meticulously designed evaluation dataset, and thorough experimental validation.","Mon, 29 Apr 2024 14:46:35 UTC (1,369 KB)"
"12","A general framework for active space embedding methods: applications in quantum computing","Stefano Battaglia, Max Rossmannek, Vladimir V. Rybkin, Ivano Tavernelli, Jürg Hutter","Chemical Physics (physics.chem-ph)","We developed a general framework for hybrid quantum-classical computing of molecular and periodic embedding calculations based on an orbital space separation of the fragment and environment degrees of freedom. We show its potential by presenting a specific implementation of periodic range-separated DFT coupled to a quantum circuit ansatz, whereby the variational quantum eigensolver and the quantum equation-of-motion approach are used to obtain the low-lying spectrum of the embedded fragment Hamiltonian. Application of this scheme to study strongly correlated molecular systems and localized electronic states in materials is showcased through the accurate prediction of the optical properties for the neutral oxygen vacancy in magnesium oxide (MgO). Despite some discrepancies in absorption predictions, the method demonstrates competitive performance with state-of-the-art ab initio approaches, particularly evidenced by the accurate prediction of the photoluminescence emission peak.","Mon, 29 Apr 2024 14:36:53 UTC (6,556 KB)"
"13","On the Evaluation of Procedural Level Generation Systems","Oliver Withington, Michael Cook, Laurissa Tokarchuk","Human-Computer Interaction (cs.HC)","The evaluation of procedural content generation (PCG) systems for generating video game levels is a complex and contested topic. Ideally, the field would have access to robust, generalisable and widely accepted evaluation approaches that can be used to compare novel PCG systems to prior work, but consensus on how to evaluate novel systems is currently limited. We argue that the field can benefit from a structured analysis of how procedural level generation systems can be evaluated, and how these techniques are currently used by researchers. This analysis can then be used to both inform on the current state of affairs, and to provide data to justify changes to this practice. This work aims to provide this by first developing a novel taxonomy of PCG evaluation approaches, and then presenting the results of a survey of recent work in the field through the lens of this taxonomy. The results of this survey highlight several important weaknesses in current practice which we argue could be substantially mitigated by 1) promoting use of evaluation free system descriptions where appropriate, 2) promoting the development of diverse research frameworks, 3) promoting reuse of code and methodology wherever possible.","Mon, 29 Apr 2024 12:40:07 UTC (1,129 KB)"
"14","Efficient preconditioners for coupled Stokes-Darcy problems","Paula Strohbeck, Iryna Rybak","Numerical Analysis (math.NA)","Coupled systems of free flow and porous media arise in a variety of technical and environmental applications. For laminar flow regimes, such systems are described by the Stokes equations in the free-flow region and Darcy's law in the porous medium. An appropriate set of coupling conditions is needed on the fluid-porous interface. Discretisations of the Stokes-Darcy problems yield large, sparse, ill-conditioned, and, depending on the interface conditions, non-symmetric linear systems. Therefore, robust and efficient preconditioners are needed to accelerate convergence of the applied Krylov method. In this work, we develop and investigate block diagonal, block triangular and constraint preconditioners for the coupled Stokes-Darcy problems. We apply two classical sets of coupling conditions considering the Beavers-Joseph and the Beavers-Joseph-Saffman condition for the tangential velocity. For the Beavers-Joseph interface condition, the resulting system is non-symmetric, therefore GMRES method is used. Spectral and field-of-values bounds independent of the grid width are derived for the exact versions of the preconditioners. Furthermore, we develop efficient inexact versions of the preconditioners. We demonstrate the effectiveness and robustness of the proposed preconditioners in numerical experiments.","Mon, 29 Apr 2024 12:18:02 UTC (4,432 KB)"
"15","Semi-device independent characterization of multiphoton indistinguishability","Giovanni Rodari, Leonardo Novo, Riccardo Albiero, Alessia Suprano, Carlos T. Tavares, Eugenio Caruccio, Francesco Hoch, Taira Giordani, Gonzalo Carvacho, Marco Gardina, Niki Di Giano, Serena Di Giorgio, Giacomo Corrielli, Francesco Ceccarelli, Roberto Osellame, Nicolò Spagnolo, Ernesto F. Galvão, Fabio Sciarrino","Quantum Physics (quant-ph)","Multiphoton indistinguishability is a central resource for quantum enhancement in sensing and computation. Developing and certifying large scale photonic devices requires reliable and accurate characterization of this resource, preferably using methods that are robust against experimental errors. Here, we propose a set of methods for the characterization of multiphoton indistinguishability, based on measurements of bunching and photon number variance. Our methods are robust in a semi-device independent way, in the sense of being effective even when the interferometers are incorrectly dialled. We demonstrate the effectiveness of this approach using an advanced photonic platform comprising a quantum-dot single-photon source and a universal fully-programmable integrated photonic processor. Our results show the practical usefulness of our methods, providing robust certification tools that can be scaled up to larger systems.","Mon, 29 Apr 2024 12:15:06 UTC (658 KB)"
"16","Feature importance to explain multimodal prediction models. A clinical use case","Jorn-Jan van de Beld, Shreyasi Pathak, Jeroen Geerdink, Johannes H. Hegeman, Christin Seifert","Machine Learning (cs.LG)","Surgery to treat elderly hip fracture patients may cause complications that can lead to early mortality. An early warning system for complications could provoke clinicians to monitor high-risk patients more carefully and address potential complications early, or inform the patient. In this work, we develop a multimodal deep-learning model for post-operative mortality prediction using pre-operative and per-operative data from elderly hip fracture patients. Specifically, we include static patient data, hip and chest images before surgery in pre-operative data, vital signals, and medications administered during surgery in per-operative data. We extract features from image modalities using ResNet and from vital signals using LSTM. Explainable model outcomes are essential for clinical applicability, therefore we compute Shapley values to explain the predictions of our multimodal black box model. We find that i) Shapley values can be used to estimate the relative contribution of each modality both locally and globally, and ii) a modified version of the chain rule can be used to propagate Shapley values through a sequence of models supporting interpretable local explanations. Our findings imply that a multimodal combination of black box models can be explained by propagating Shapley values through the model sequence.","Mon, 29 Apr 2024 12:11:26 UTC (211 KB)"
"17","A new framework to follow up candidates from continuous gravitational-wave searches","P. B. Covas, R. Prix, J. Martins","General Relativity and Quantum Cosmology (gr-qc)","Searches for continuous gravitational waves from unknown neutron stars are limited in sensitivity due to their high computational cost. For this reason, developing new methods or improving existing ones can increase the probability of making a detection. In this paper we present a new framework that uses MCMC or nested sampling methods to follow-up candidates of continuous gravitational-wave searches. This framework aims to go beyond the capabilities of PYFSTAT (which is limited to the PTEMCEE sampler), by allowing a flexible choice of sampling algorithm (using BILBY as a wrapper) and multi-dimensional correlated prior distributions. We show that MCMC and nested sampling methods can recover the maximum posterior point for much bigger parameter-space regions than previously thought (including for sources in binary systems), and we present tests that examine the capabilities of the new framework: a comparison between the DYNESTY, NESSAI, and PTEMCEE samplers, the usage of correlated priors, and its improved computational cost.","Mon, 29 Apr 2024 11:22:45 UTC (4,698 KB)"
"18","Two-dimensional correlation propagation dynamics with a cluster discrete phase-space method","Kazuma Nagao, Seiji Yunoki","Quantum Gases (cond-mat.quant-gas)","Nonequilibrium dynamics of highly-controlled quantum systems is a challenging issue in statistical physics and quantum many-body physics, relevant to recent experimental developments of analog and digital quantum simulations. In this work, we develop a discrete phase-space approach for general SU($N$) spin systems that utilizes cluster mean field equations, which capture non-trivial quantum correlations inside each cluster, beyond the capability of the standard discrete truncated Wigner approximation for individual classical spins. Our formalism, based on a cluster phase-point operator, makes it possible to realize scalable numerical samplings of cluster phase-space variables, where the total number of noise variables for a direct product state is independent of the choice of the separation into finite regions of clusters. We numerically demonstrate that the cluster discrete truncated Wigner approximation (C-dTWA) method can reproduce key results in a recent experiment on the correlation propagation dynamics in a two dimensional Bose-Hubbard system. We also compare the results of C-dTWA for clusters of $2\times 2$ sites with those of a two-dimensional tensor network method and discuss that both approaches agree very well in a short time region, where the energy is well conserved in the tensor network simulations. Since we formulate the C-dTWA method in a general form, it can be potentially applied to various dynamical problems in isolated and open quantum systems even in higher dimensions.","Mon, 29 Apr 2024 11:08:44 UTC (130 KB)"
"19","FREB-TQA: A Fine-Grained Robustness Evaluation Benchmark for Table Question Answering","Wei Zhou, Mohsen Mesgar, Heike Adel, Annemarie Friedrich","Computation and Language (cs.CL)","Table Question Answering (TQA) aims at composing an answer to a question based on tabular data. While prior research has shown that TQA models lack robustness, understanding the underlying cause and nature of this issue remains predominantly unclear, posing a significant obstacle to the development of robust TQA systems. In this paper, we formalize three major desiderata for a fine-grained evaluation of robustness of TQA systems. They should (i) answer questions regardless of alterations in table structure, (ii) base their responses on the content of relevant cells rather than on biases, and (iii) demonstrate robust numerical reasoning capabilities. To investigate these aspects, we create and publish a novel TQA evaluation benchmark in English. Our extensive experimental analysis reveals that none of the examined state-of-the-art TQA systems consistently excels in these three aspects. Our benchmark is a crucial instrument for monitoring the behavior of TQA systems and paves the way for the development of robust TQA systems. We release our benchmark publicly.","Mon, 29 Apr 2024 10:55:08 UTC (8,773 KB)"
"20","IncidentResponseGPT: Generating Traffic Incident Response Plans with Generative Artificial Intelligence","Artur Grigorev, Khaled Saleh, Yuming Ou","Machine Learning (cs.LG)","Traffic congestion due to road incidents poses a significant challenge in urban environments, leading to increased pollution, economic losses, and traffic congestion. Efficiently managing these incidents is imperative for mitigating their adverse effects; however, the complexity of urban traffic systems and the variety of potential incidents represent a considerable obstacle. This paper introduces IncidentResponseGPT, an innovative solution designed to assist traffic management authorities by providing rapid, informed, and adaptable traffic incident response plans. By integrating a Generative AI platform with real-time traffic incident reports and operational guidelines, our system aims to streamline the decision-making process in responding to traffic incidents. The research addresses the critical challenges involved in deploying AI in traffic management, including overcoming the complexity of urban traffic networks, ensuring real-time decision-making capabilities, aligning with local laws and regulations, and securing public acceptance for AI-driven systems. Through a combination of text analysis of accident reports, validation of AI recommendations through traffic simulation, and implementation of transparent and validated AI systems, IncidentResponseGPT offers a promising approach to optimizing traffic flow and reducing congestion in the face of traffic incidents. The relevance of this work extends to traffic management authorities, emergency response teams, and municipal bodies, all integral stakeholders in urban traffic control and incident management. By proposing a novel solution to the identified challenges, this research aims to develop a framework that not only facilitates faster resolution of traffic incidents but also minimizes their overall impact on urban traffic systems.","Mon, 29 Apr 2024 09:45:46 UTC (161 KB)"
"21","OAEI Machine Learning Dataset for Online Model Generation","Sven Hertling, Ebrahim Norouzi, Harald Sack","Information Retrieval (cs.IR)","Ontology and knowledge graph matching systems are evaluated annually by the Ontology Alignment Evaluation Initiative (OAEI). More and more systems use machine learning-based approaches, including large language models. The training and validation datasets are usually determined by the system developer and often a subset of the reference alignments are used. This sampling is against the OAEI rules and makes a fair comparison impossible. Furthermore, those models are trained offline (a trained and optimized model is packaged into the matcher) and therefore the systems are specifically trained for those tasks. In this paper, we introduce a dataset that contains training, validation, and test sets for most of the OAEI tracks. Thus, online model learning (the systems must adapt to the given input alignment without human intervention) is made possible to enable a fair comparison for ML-based systems. We showcase the usefulness of the dataset by fine-tuning the confidence thresholds of popular systems.","Mon, 29 Apr 2024 09:33:53 UTC (24 KB)"
"22","A Framework to Model ML Engineering Processes","Sergio Morales, Robert Clarisó, Jordi Cabot","Software Engineering (cs.SE)","The development of Machine Learning (ML) based systems is complex and requires multidisciplinary teams with diverse skill sets. This may lead to communication issues or misapplication of best practices. Process models can alleviate these challenges by standardizing task orchestration, providing a common language to facilitate communication, and nurturing a collaborative environment. Unfortunately, current process modeling languages are not suitable for describing the development of such systems. In this paper, we introduce a framework for modeling ML-based software development processes, built around a domain-specific language and derived from an analysis of scientific and gray literature. A supporting toolkit is also available.","Mon, 29 Apr 2024 09:17:36 UTC (922 KB)"
"23","Enabling Efficient and Flexible Interpretability of Data-driven Anomaly Detection in Industrial Processes with AcME-AD","Valentina Zaccaria, Chiara Masiero, David Dandolo, Gian Antonio Susto","Machine Learning (cs.LG)","While Machine Learning has become crucial for Industry 4.0, its opaque nature hinders trust and impedes the transformation of valuable insights into actionable decision, a challenge exacerbated in the evolving Industry 5.0 with its human-centric focus. This paper addresses this need by testing the applicability of AcME-AD in industrial settings. This recently developed framework facilitates fast and user-friendly explanations for anomaly detection. AcME-AD is model-agnostic, offering flexibility, and prioritizes real-time efficiency. Thus, it seems suitable for seamless integration with industrial Decision Support Systems. We present the first industrial application of AcME-AD, showcasing its effectiveness through experiments. These tests demonstrate AcME-AD's potential as a valuable tool for explainable AD and feature-based root cause analysis within industrial environments, paving the way for trustworthy and actionable insights in the age of Industry 5.0.","Mon, 29 Apr 2024 09:11:41 UTC (324 KB)"
"24","An Agile Formal Specification Language Design Based on K Framework","Jianyu Zhang, Long Zhang, Yixuan Wu, Feng Yang","Software Engineering (cs.SE)","Formal Methods (FMs) are currently essential for verifying the safety and reliability of software systems. However, the specification writing in formal methods tends to be complex and challenging to learn, requiring familiarity with various intricate formal specification languages and verification technologies. In response to the increasing complexity of software frameworks, existing specification writing methods fall short in meeting agility requirements. To address this, this paper introduces an Agile Formal Specification Language (ASL). The ASL is defined based on the K Framework and YAML Ain't Markup Language (YAML). The design of ASL incorporates agile design principles, making the writing of formal specifications simpler, more efficient, and scalable. Additionally, a specification translation algorithm is developed, capable of converting ASL into K formal specification language that can be executed for verification. Experimental evaluations demonstrate that the proposed method significantly reduces the code size needed for specification writing, enhancing agility in formal specification writing.","Mon, 29 Apr 2024 09:00:50 UTC (3,831 KB)"
"25","Self-Similar Collapse in Painleve-Gullstrand Coordinates","Soumya Chakrabarti, Chiranjeeb Singha","General Relativity and Quantum Cosmology (gr-qc)","We report a family of self-similar exact solutions in General Relativity. The solutions are found in a Painleve-Gullstrand coordinate system but can also be transformed smoothly into a diagonal form. The solutions represent a gravitational collapse leading to three possible outcomes, depending on the parameter space : (i) a collapse followed by a bounce and dispersal of the clustered matter distribution, (ii) a rapid collapse followed by a bounce and an eventual re-collapse, and (iii) a standard collapse leading to zero proper volume. Profiles of the energy conditions are studied for all of the scenarios, and it is noted that a bounce is usually associated with a violation of the Null Energy Condition. It is found that more than one null surfaces (apparent horizons) can develop during the collapse. We also discuss that for a general metric tensor having a conformal symmetry, some regions of the parameter space allows a formation of null throat, much like a wormhole. Matching the metric with a Schwarzschild metric in Painleve-Gullstrand form leads to the geodesic equation for a zero energy falling particle in the exterior.","Mon, 29 Apr 2024 05:13:51 UTC (238 KB)"
"26","The Jive Verification System and its Transformative Impact on Weather Forecasting Operations","Nicholas Loveday, Deryn Griffiths, Tennessee Leeuwenburg, Robert Taggart, Thomas C. Pagano, George Cheng, Kevin Plastow, Elizabeth Ebert, Cassandra Templeton, Maree Carroll, Mohammadreza Khanarmuei, Isha Nagpal","Atmospheric and Oceanic Physics (physics.ao-ph)","Forecast verification is critical for continuous improvement in meteorological organizations. The Jive verification system was originally developed to assess the accuracy of public weather forecasts issued by the Australian Bureau of Meteorology. It started as a research project in 2015 and gradually evolved into the operational verification system that went live in 2022. The system includes daily verification dashboards for forecasters to visualize recent forecast performance and ""Evidence Targeted Automation"" dashboards for exploring the performance of competing forecast systems. Additionally, there is a Jupyter Notebook server with the Jive Python library which supports research experiments, case studies, and the development of new verification metrics and tools.
This paper shows how the Jive verification project helped bring verification to the forefront at the Bureau of Meteorology, leading to more accurate, streamlined forecasts. Jive has been used to provide evidence for forecast automation decisions and has helped to understand the evolving role of meteorologists in the forecast process. It has given operational meteorologists tools for evaluating forecast processes, including identifying when and how manual interventions lead to superior predictions. The project also led to new verification science, including novel metrics that are decision-focused, including for extreme conditions. Additionally, Jive has provided the Bureau with an enterprise-wide data analysis environment and has prompted a clarification of forecast definitions.
These collective impacts have resulted in more accurate forecasts, ultimately benefiting society, and building trust with forecast users. These positive outcomes highlight the importance of meteorological organizations investing in verification science and technology.","Mon, 29 Apr 2024 05:00:40 UTC (852 KB)"
"27","Mixture-of-Instructions: Comprehensive Alignment of a Large Language Model through the Mixture of Diverse System Prompting Instructions","Bowen Xu, Shaoyu Wu, Kai Liu, Lulu Hu","Computation and Language (cs.CL)","With the proliferation of large language models (LLMs), the comprehensive alignment of such models across multiple tasks has emerged as a critical area of research. Existing alignment methodologies primarily address single task, such as multi-turn dialogue, coding, mathematical problem-solving, and tool usage. However, AI-driven products that leverage language models usually necessitate a fusion of these abilities to function effectively in real-world scenarios. Moreover, the considerable computational resources required for proper alignment of LLMs underscore the need for a more robust, efficient, and encompassing approach to multi-task alignment, ensuring improved generative performance. In response to these challenges, we introduce a novel technique termed Mixture-of-Instructions (MoI), which employs a strategy of instruction concatenation combined with diverse system prompts to boost the alignment efficiency of language models. We have also compiled a diverse set of seven benchmark datasets to rigorously evaluate the alignment efficacy of the MoI-enhanced language model. Our methodology was applied to the open-source Qwen-7B-chat model, culminating in the development of Qwen-SFT-MoI. This enhanced model demonstrates significant advancements in generative capabilities across coding, mathematics, and tool use tasks.","Mon, 29 Apr 2024 03:58:12 UTC (3,478 KB)"
"28","ViOCRVQA: Novel Benchmark Dataset and Vision Reader for Visual Question Answering by Understanding Vietnamese Text in Images","Huy Quang Pham, Thang Kien-Bao Nguyen, Quan Van Nguyen, Dan Quang Tran, Nghia Hieu Nguyen, Kiet Van Nguyen, Ngan Luu-Thuy Nguyen","Computer Vision and Pattern Recognition (cs.CV)","Optical Character Recognition - Visual Question Answering (OCR-VQA) is the task of answering text information contained in images that have just been significantly developed in the English language in recent years. However, there are limited studies of this task in low-resource languages such as Vietnamese. To this end, we introduce a novel dataset, ViOCRVQA (Vietnamese Optical Character Recognition - Visual Question Answering dataset), consisting of 28,000+ images and 120,000+ question-answer pairs. In this dataset, all the images contain text and questions about the information relevant to the text in the images. We deploy ideas from state-of-the-art methods proposed for English to conduct experiments on our dataset, revealing the challenges and difficulties inherent in a Vietnamese dataset. Furthermore, we introduce a novel approach, called VisionReader, which achieved 0.4116 in EM and 0.6990 in the F1-score on the test set. Through the results, we found that the OCR system plays a very important role in VQA models on the ViOCRVQA dataset. In addition, the objects in the image also play a role in improving model performance. We open access to our dataset at link (this https URL) for further research in OCR-VQA task in Vietnamese.","Mon, 29 Apr 2024 03:17:47 UTC (9,443 KB)"
