"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Naglfarslayer","UPDATE (22 March 2022):New unit arrived yesterday and started up perfectly.As for a laptop, it's perfectly functional. The design is nice, the keyboard feels nice (trackpad takes some getting used to clicking), there are enough ports for the peripherals I use, and it's run older games for 5 hours straight with negligible heat. I haven't tested the webcam and microphone yet.I don't play new or graphic-intensive games, but this ran very well on older games (Team Fortress 2, Spec Ops: The Line, Magic the Gathering 2014) and some newer ones (Deep Rock Galactic). I plan to run Halo Infinite and Outer Wilds later this week and expect it to perform well.I will keep this updated as my time with this computer progresses. 5/5___________________________________________________________________OLD REVIEW (20 March 2022):TL;DR - I'm sure the laptop is great but the one I received is defective (can't charge - motherboard issue). I am returning it to Amazon and have ordered another one, as I'm sure a functioning unit will meet my expectations for this product. I will update my review when my second order arrives. As for now, 1 star for defective product.I wanted a budget gaming laptop to replace my retired ASUS G55VW (2011). I chose this model due to its strong specs for a budget device, including an RTX 3050Ti (midrange for graphics cards in 2021 but supports the burgeoning ray-tracing technology used in current games), Core i7 CPU, 1 TB SSD storage, and 16GB memory. I also chose this because I wanted a 17-inch screen. The price point maxed out my acceptable budget range (~$1200).I believe this laptop is a good choice for me considering these specs and the price, and I look forward to trying it out.HOWEVER, the model I received appears to be defective - I believe I got a lemon. Upon unboxing, plugging the charger into the laptop did not illuminate the 'charging' light on the laptop, even after trying different electrical outlets and surge protectors. I took it to a local computer repair shop and the tech confirmed the charger itself was functional, as his voltmeter reported 19+ V. Upon opening the device and testing it, he concluded that something was wrong with the motherboard that prevented charging (I am unfamiliar with computers and cannot relay the significance of what he said).I filed for a return-and-replace with Amazon; they accepted the return but denied the replacement - likely so I couldn't keep both laptops and run. The laptop is currently repackaged and I will drop it off at UPS for a return in the next couple of days.I immediately ordered another unit, as this model was my first choice. I expect the second product to work just fine and meet my purchasing expectations, and eagerly await its arrival. I understand defective products are produced and shipped as a natural part of the production process, and do not consider this representative of Acer.While I'm sure the product will meet my expectations, I am saddened to receive a defective model. I will provide an updated review when my second order arrives.","Verified Purchase","Reviewed in the United States on March 19, 2022","4.4 out of 5 stars"
"12","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","The Mad Alchemist","Not sure why it wants you to rate it as a touch screen model when there's no function for it. However, after a few months with it I'm happy. I don't game much but I've played a few easy going games and have had no actual issues, and will be upgrading to 32GB of RAM just because. My biggest issue is that if you stay on a bright screen for a while, like Amazon for example, and then go to a website where you're using a dark mode, like I do on Discord, the ghost image can be seen. Also, when streaming shows/movies there's always a bright spot in the bottom left corner as if someone is home and forgot to turn the light off in a room. It's distracting.","Verified Purchase","Reviewed in the United States on February 26, 2022","5.0 out of 5 stars"
"13","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Pengwing","He uses it for gaming & he was running out of storage, so he had a higher processor installed. The guys who did it said that's what a lot of gamers actually do to save money instead of opting for the more expensive laptops with more memory.","Verified Purchase","Reviewed in the United States on January 26, 2024","1.0 out of 5 stars"
"14","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Brian S","I purchased the laptop for my daughter, this is what she said!“ Great brightness settings, decent colors but not fantastic for ""hardcore"" gamers or people wanting to get true colors for content creation/art. But for on the road projects and entertainment it is perfect, no complaints!It is not but it is very solid for what I need.Price to performance I give it 5/5, overall with personal preference if you could do decimals I'd give it 4.8/5.  Otherwise just 5/5”.","Verified Purchase","Reviewed in the United States on January 12, 2024","5.0 out of 5 stars"
"15","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","ijaja","Good graphics and speed but battery life is short, less than 2 hrs.and the plastic case is very susceptible to finger print stains and is difficult to get and keep clean.It is impossible to find a 90 degree charger or adapter, as the one that comes with it sticks straight out of the back, which can be awkward.","Verified Purchase","Reviewed in the United States on March 5, 2024","4.0 out of 5 stars"
"16","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Merlina","At first I thought they were not the same latop, after I contact my friend that recommended me this latop I knew they were the same latop. When It came I also thought it didn't change but I just had to make a little bit of more pressure.","Verified Purchase","Reviewed in the United States on January 31, 2024","5.0 out of 5 stars"
"17","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","R. Duncan","I was worried at first as a strange sound was coming from inside like a moving neck chain… I had faith in it as I didn’t want to return as I love it, I did reported the issue though. It’s been about 3 months now and it’s working perfectly fine and I’m no longer hearing the sound.","Verified Purchase","Reviewed in the United States on February 12, 2024","4.0 out of 5 stars"
"18","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","⭐️⭐️⭐️⭐️⭐️","Great value for the money. Runs smoothly, overall I've had no issues with it","Verified Purchase","Reviewed in the United States on February 22, 2024","4.0 out of 5 stars"
"19","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","⭐️⭐️⭐️⭐️⭐️","Great PC except, I can't read the keys since red on black! The red LED back light hardly helps.  Please use white print on black for those of us who can't see red.  Thank you.","Verified Purchase","Reviewed in the United States on February 18, 2024","5.0 out of 5 stars"
"20","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","TIMOYA","I got this to write stories on and play sims 4. Graphics and loading speed is incredible!","Verified Purchase","Reviewed in the United States on March 8, 2024","5.0 out of 5 stars"
"21","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Naglfarslayer","Cumplió la mayoría de mis expectativas, la uso para la universidad, para editar video, para jugar y rinde de maravilla.Refrigeración 10/10, buenas temperaturas, incluye su software para elegir el modo de los ventiladores.La batería me ha llegado a durar 3 horas con ahorro de energía, bajo brillo y haciendo tareas sencillas.La cámara se ve lo suficientemente bien, no es la gran cosa pero tampoco necesito que sea un punto fuerte.Micrófono combinado con la reducción de ruido por IA se escucha muy bien para reuniones.Teclado muy bueno, suficiente recorrido y buen tacto, la retroiluminacion funciona bien con diferente intensidad, solo es rojo pero funciona.El i5-12500h, va de maravilla, nunca he logrado usarlo al 100%, no importa cuántas cosas este haciendo multitarea. Es una maravilla.La 3050ti, es una gráfica de la gen pasada pero rinde lo suficiente, en juegos AAA nuevos si va a 100% pero siempre arriba de 60fps en especial con tecnologías como dlss. Su límite creo que son los 4gb de vram.Recomiendo mucho la versión con 16gb ram, hoy en día son una necesidad.Los puertos son muy variados y son todo lo que necesito, varios USB 3.2, USB-c, HDMI 2.1, Puerto Ethernet, jack de auriculares.Los únicos contras que le ví son:1. El trackpad no es tan fluido, se te traba el dedo, he usado mejores en computadoras más baratas, pero en lo personal siempre la uso con un mouse aparte y casi nunca uso el trackpad pero cuando salgo y no llevo mouse si se nota que es un punto débil.2. El brillo de la pantalla, me parece poco. Obvio no es una computadora para exteriores, pero incluso en interiores, a veces siento necesitar más brillo. Fuera de eso la pantalla se ve muy bien.","Verified Purchase","Reviewed in the United States on March 19, 2022","4.4 out of 5 stars"
"22","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","The Mad Alchemist","X that I could take on vacations or winter get-a-ways that had the capability of running X Plane 12 and this fills the bill !","Verified Purchase","Reviewed in the United States on February 26, 2022","5.0 out of 5 stars"
"23","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Carlos","Llego en perfectas condiciones nuevo y tal cual las especificaciones","Verified Purchase","Reviewed in the United States on October 18, 2023","1.0 out of 5 stars"
"24","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Carlos","Lapttop runs pretty smoothe and can handle most games. only issue i have is that at random intervals the screen would start flickering and it's get kind of annoying. Restarting the laptop usually fixes this temporarily.","Verified Purchase","Reviewed in the United States on February 27, 2024","5.0 out of 5 stars"
"25","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Larry Kinyon","I gifted this laptop to my Dad because he's a gamer and was long overdue for an upgrade. He plays WOW and OW fluidly and loves it. It runs smoothly. I'm unsure of how hot it runs because I also purchased an external fan for it and he uses it all the time. No complaints so far!","Verified Purchase","Reviewed in the United States on March 6, 2024","5.0 out of 5 stars"
"26","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Liliana Carolina Moreno Villamizar","Using it for work - mostly office stuff.  It is fast and quiet.  Love it.  And it looks cool","Verified Purchase","Reviewed in the United States on January 27, 2024","5.0 out of 5 stars"
"27","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Benson O.","Bought for daughter she loved it for teen but it was hard for her to set up.","Verified Purchase","Reviewed in the United States on February 6, 2024","5.0 out of 5 stars"
"28","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Alexis Doubleu","La laptop no me terminaba de convencer, precisamente porque la comparaba con una opción de hp, sin embargo, puedo decir que no me arrepiento de la compra.El equipo rinde excepcional, es liviano, silencioso, tiene software personalizado de fábrica, una pantalla que cumple para su precio y los procesadores que van perfecto.Lo único que me faltó es un poco más de RAM, pero ya viene en camino otra memoria para hacerla aún mejor. 10/10.","Verified Purchase","Reviewed in the United States on February 22, 2024","4.0 out of 5 stars"
"29","Laptop","RAcer Nitro 5 Gaming Laptop | Intel 12th Gen i7-12650H | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6” FHD 144Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6 | RGB Backlit KB | AN515-58-781P","Johnny Kaua’i","I'm playing with it for about 10 days now and it's been freezing the games when it heats up. There's a native app called nitro sense, where you can speed up the coolers, but it wasn't enough to play Ori and the will of wisps on full or red dead redemption on ultra mode. I got external coolers and it got better. I had to low the graphics to have a better playing experience.  Battery doesn't last more than an hour of play time. My power bill raised a bit. I'd give it an 8/10 score. In general, it's a good gaming PC.","Verified Purchase","Reviewed in the United States on February 4, 2024","5.0 out of 5 stars"
