"","X","Title","Author","Subject","Abstract","Meta"
"11",11,"unicl: a universal contrastive learning framework for large time series models","jiawei li, jingshu peng, haoyang li, lei chen","machine learning (cs.lg)","time-series analysis plays a pivotal role across a range of critical applications, from finance to healthcare, which involves various tasks, such as forecasting and classification. to handle the inherent complexities of time-series data, such as high dimensionality and noise, traditional supervised learning methods first annotate extensive labels for time-series data in each task, which is very costly and impractical in real-world applications. in contrast, pre-trained foundation models offer a promising alternative by leveraging unlabeled data to capture general time series patterns, which can then be fine-tuned for specific tasks. however, existing approaches to pre-training such models typically suffer from high-bias and low-generality issues due to the use of predefined and rigid augmentation operations and domain-specific data training. to overcome these limitations, this paper introduces unicl, a universal and scalable contrastive learning framework designed for pretraining time-series foundation models across cross-domain datasets. specifically, we propose a unified and trainable time-series augmentation operation to generate pattern-preserved, diverse, and low-bias time-series data by leveraging spectral information. besides, we introduce a scalable augmentation algorithm capable of handling datasets with varying lengths, facilitating cross-domain pretraining. extensive experiments on two benchmark datasets across eleven domains validate the effectiveness of unicl, demonstrating its high generalization on time-series analysis across various fields.",2024-05-17
"12",12,"multi-scale semantic prior features guided deep neural network for urban street-view image","jianshun zeng, wang li, yanjie lv, shuai gao, yuchu qin","computer vision and pattern recognition (cs.cv)","street-view image has been widely applied as a crucial mobile mapping data source. the inpainting of street-view images is a critical step for street-view image processing, not only for the privacy protection, but also for the urban environment mapping applications. this paper presents a novel deep neural network (dnn), multi-scale semantic prior feature guided image inpainting network (mfn) for inpainting street-view images, which generate static street-view images without moving objects (e.g., pedestrians, vehicles). to enhance global context understanding, a semantic prior prompter is introduced to learn rich semantic priors from large pre-trained model. we design the prompter by stacking multiple semantic pyramid aggregation (spa) modules, capturing a broad range of visual feature patterns. a semantic-enhanced image generator with a decoder is proposed that incorporates a novel cascaded learnable prior transferring (lpt) module at each scale level. for each decoder block, an attention transfer mechanism is applied to capture long-term dependencies, and the semantic prior features are fused with the image features to restore plausible structure in an adaptive manner. additionally, a background-aware data processing scheme is adopted to prevent the generation of hallucinated objects within holes. experiments on apolloscapes and cityscapes datasets demonstrate better performance than state-of-the-art methods, with mae, and lpips showing improvements of about .% and .% respectively. visual comparison survey among multi-group person is also conducted to provide performance evaluation, and the results suggest that the proposed mfn offers a promising solution for privacy protection and generate more reliable scene for urban applications with street-view images.",2024-05-17
"13",13,"a deep learning approach to heterogeneous consumer aesthetics in retail fashion","pranjal rawat","general economics (econ.gn)","in some markets, the visual appearance of a product matters a lot. this paper investigates consumer transactions from a major fashion retailer, focusing on consumer aesthetics. pretrained multimodal models convert images and text descriptions into high-dimensional embeddings. the value of these embeddings is verified both empirically and by their ability to segment the product space. a discrete choice model is used to decompose the distinct drivers of consumer choice: price, visual aesthetics, descriptive details, and seasonal variations. consumers are allowed to differ in their preferences over these factors, both through observed variation in demographics and allowing for unobserved types. estimation and inference employ automatic differentiation and gpus, making it scalable and portable. the model reveals significant differences in price sensitivity and aesthetic preferences across consumers. the model is validated by its ability to predict the relative success of new designs and purchase patterns.",2024-05-17
"14",14,"agent design pattern catalogue: a collection of architectural patterns for foundation model based agents","yue liu, sin kit lo, qinghua lu, liming zhu, dehai zhao, xiwei xu, stefan harrer, jon whittle","artificial intelligence (cs.ai)","foundation model-enabled generative artificial intelligence facilitates the development and implementation of agents, which can leverage distinguished reasoning and language processing capabilities to takes a proactive, autonomous role to pursue users' goals. nevertheless, there is a lack of systematic knowledge to guide practitioners in designing the agents considering challenges of goal-seeking (including generating instrumental goals and plans), such as hallucinations inherent in foundation models, explainability of reasoning process, complex accountability, etc. to address this issue, we have performed a systematic literature review to understand the state-of-the-art foundation model-based agents and the broader ecosystem. in this paper, we present a pattern catalogue consisting of  architectural patterns with analyses of the context, forces, and trade-offs as the outcomes from the previous literature review. the proposed catalogue can provide holistic guidance for the effective use of patterns, and support the architecture design of foundation model-based agents by facilitating goal-seeking and plan generation.",2024-05-16
"15",15,"amcen: an attention masking-based contrastive event network for two-stage temporal knowledge graph reasoning","jing yang, xiao wang, yutong wang, jiawei wang, fei-yue wang","machine learning (cs.lg)","temporal knowledge graphs (tkgs) can effectively model the ever-evolving nature of real-world knowledge, and their completeness and enhancement can be achieved by reasoning new events from existing ones. however, reasoning accuracy is adversely impacted due to an imbalance between new and recurring events in the datasets. to achieve more accurate tkg reasoning, we propose an attention masking-based contrastive event network (amcen) with local-global temporal patterns for the two-stage prediction of future events. in the network, historical and non-historical attention mask vectors are designed to control the attention bias towards historical and non-historical entities, acting as the key to alleviating the imbalance. a local-global message-passing module is proposed to comprehensively consider and capture multi-hop structural dependencies and local-global temporal evolution for the in-depth exploration of latent impact factors of different event types. a contrastive event classifier is used to classify events more accurately by incorporating local-global temporal patterns into contrastive learning. therefore, amcen refines the prediction scope with the results of the contrastive event classification, followed by utilizing attention masking-based decoders to finalize the specific outcomes. the results of our experiments on four benchmark datasets highlight the superiority of amcen. especially, the considerable improvements in hits@ prove that amcen can make more precise predictions about future occurrences.",2024-05-16
"16",16,"a design trajectory map of human-ai collaborative reinforcement learning systems: survey and taxonomy","zhaoxing li","human-computer interaction (cs.hc)","driven by the algorithmic advancements in reinforcement learning and the increasing number of implementations of human-ai collaboration, collaborative reinforcement learning (crl) has been receiving growing attention. despite this recent upsurge, this area is still rarely systematically studied. in this paper, we provide an extensive survey, investigating crl methods based on both interactive reinforcement learning algorithms and human-ai collaborative frameworks that were proposed in the past decade. we elucidate and discuss via synergistic analysis methods both the growth of the field and the state-of-the-art; we conceptualise the existing frameworks from the perspectives of design patterns, collaborative levels, parties and capabilities, and review interactive methods and algorithmic models. specifically, we create a new human-ai crl design trajectory map, as a systematic modelling tool for the selection of existing crl frameworks, as well as a method of designing new crl systems, and finally of improving future crl designs. furthermore, we elaborate generic human-ai crl challenges, providing the research community with a guide towards novel research directions. the aim of this paper is to empower researchers with a systematic framework for the design of efficient and 'natural' human-ai collaborative methods, making it possible to work on maximised realisation of humans' and ai's potentials.",2024-05-16
"17",17,"libra: building decoupled vision system on large language models","yifan xu, xiaoshan yang, yaguang song, changsheng xu","computer vision and pattern recognition (cs.cv)","in this work, we introduce libra, a prototype model with a decoupled vision system on a large language model (llm). the decoupled vision system decouples inner-modal modeling and cross-modal interaction, yielding unique visual information modeling and effective cross-modal comprehension. libra is trained through discrete auto-regressive modeling on both vision and language inputs. specifically, we incorporate a routed visual expert with a cross-modal bridge module into a pretrained llm to route the vision and language flows during attention computing to enable different attention patterns in inner-modal modeling and cross-modal interaction scenarios. experimental results demonstrate that the dedicated design of libra achieves a strong mllm baseline that rivals existing works in the image-to-text scenario with merely  million training data, providing a new perspective for future multimodal foundation models. code is available at this https url.",2024-05-16
"18",18,"on-chip integrated metasystem for spin-dependent multi-channel colour holography","zhan-ying ma, xian-jin liu, yu-qi peng, da-sen zhang, zhen-zhen liu, jun-jun xiao","optics (physics.optics)","on-chip integrated metasurface driven by in-plane guided waves is of great interests in various light field manipulation applications such as colorful augmented reality and holographic display. however, it remains a challenge to design colorful multichannel holography by a single on-chip metasurface. here we present metasurfaces integrated on top of guided-wave photonic slab that achieves multi-channel colorful holographic light display. an end-to-end scheme is used to inverse design the metasurface for projecting off-chip preset multiple patterns. particular examples are presented for customized patterns that were encoded into the metasurface with a single-cell meta-atom, working simultaneously at rgb color channels and for several different diffractive distance, with polarization dependence. holographic images are generated at  independent channels with such a single-cell metasurface. the proposed design scheme is easy to implement and the resulting device is viable to fabrication, promising a plenty of applications in nanophotonics.",2024-05-16
"19",19,"minimaxad: a lightweight autoencoder for feature-rich anomaly detection","fengjie wang, chengming liu, lei shi, pang haibo","computer vision and pattern recognition (cs.cv)","previous unsupervised anomaly detection (uad) methods often struggle with significant intra-class diversity; i.e., a class in a dataset contains multiple subclasses, which we categorize as feature-rich anomaly detection datasets (frads). this is evident in applications such as unified setting and unmanned supermarket scenarios. to address this challenge, we developed minimaxad: a lightweight autoencoder designed to efficiently compress and memorize extensive information from normal images. our model utilizes a large kernel convolutional network equipped with a global response normalization (grn) unit and employs a multi-scale feature reconstruction strategy. the grn unit significantly increases the upper limit of the network's capacity, while the large kernel convolution facilitates the extraction of highly abstract patterns, leading to compact normal feature modeling. additionally, we introduce an adaptive contraction loss (adcloss), tailored to frads to overcome the limitations of global cosine distance loss. minimaxad was comprehensively tested across six challenging uad benchmarks, achieving state-of-the-art results in four and highly competitive outcomes in the remaining two. notably, our model achieved a detection auroc of up to .\% in visa under the unified setting. moreover, it not only achieved state-of-the-art performance in unmanned supermarket tasks but also exhibited an inference speed  times faster than the previous best method, demonstrating its effectiveness in complex uad tasks.",2024-05-16
"20",20,"infrared adversarial car stickers","xiaopei zhu, yuqiu liu, zhanhao hu, jianmin li, xiaolin hu","computer vision and pattern recognition (cs.cv)","infrared physical adversarial examples are of great significance for studying the security of infrared ai systems that are widely used in our lives such as autonomous driving. previous infrared physical attacks mainly focused on d infrared pedestrian detection which may not fully manifest its destructiveness to ai systems. in this work, we propose a physical attack method against infrared detectors based on d modeling, which is applied to a real car. the goal is to design a set of infrared adversarial stickers to make cars invisible to infrared detectors at various viewing angles, distances, and scenes. we build a d infrared car model with real infrared characteristics and propose an infrared adversarial pattern generation method based on d mesh shadow. we propose a d control points-based mesh smoothing algorithm and use a set of smoothness loss functions to enhance the smoothness of adversarial meshes and facilitate the sticker implementation. besides, we designed the aluminum stickers and conducted physical experiments on two real mercedes-benz al cars. our adversarial stickers hid the cars from faster rcnn, an object detector, at various viewing angles, distances, and scenes. the attack success rate (asr) was .% for real cars. in comparison, the asrs of random stickers and no sticker were only .% and .%, respectively. in addition, the asrs of the designed stickers against six unseen object detectors such as yolov and deformable detr were between .%-.%, showing good transferability of the attack performance across detectors.",2024-05-16
"21",21,"beam pattern modulation embedded hybrid transceiver optimization for integrated sensing and communication","boxun liu, shijian gao, zonghui yang, xiang cheng, liuqing yang","signal processing (eess.sp)","integrated sensing and communication (isac) emerges as a promising technology for bg/g, particularly in the millimeter-wave (mmwave) band. however, the widely utilized hybrid architecture in mmwave systems compromises multiplexing gain due to the constraints of limited radio frequency chains. moreover, additional sensing functionalities exacerbate the impairment of spectrum efficiency (se). in this paper, we present an optimized beam pattern modulation-embedded isac (bpm-isac) transceiver design, which spares one rf chain for sensing and the others for communication. to compensate for the reduced se, index modulation across communication beams is applied. we formulate an optimization problem aimed at minimizing the mean squared error (mse) of the sensing beampattern, subject to a symbol mse constraint. this problem is then solved by sequentially optimizing the analog and digital parts. both the multi-aperture structure (mas) and the multi-beam structure (mbs) are considered for the design of the analog part. we conduct theoretical analysis on the asymptotic pairwise error probability (apep) and the cramér-rao bound (crb) of direction of arrival (doa) estimation. numerical simulations validate the overall enhanced isac performance over existing alternatives.",2024-05-16
"22",22,"optimizing curved em skins for opportunistic relaying in vehicular networks","reza aghazadeh ayoubi, silvia mura, dario tagliaferri, marouan mizmizi, umberto spagnolini","signal processing (eess.sp)","electromagnetic skins (emss) are recognized for enhancing communication performance, spanning from coverage to capacity. while much of the scientific literature focuses on reconfigurable intelligent surfaces that dynamically adjust phase configurations over time, this study takes a different approach by considering low-cost static passive curved ems (cems)s. these are pre-configured during manufacturing to conform to the shape of irregular surfaces, e.g., car doors, effectively transforming them into anomalous mirrors. this design allows vehicles to serve as opportunistic passive relays, mitigating blockage issues in vehicular networks. this paper delves into a novel design method for the phase profile of cems based on coarse a-priori distributions of incident and reflection angles onto the surface, influenced by vehicular traffic patterns. a penalty-based method is employed to optimize both the average spectral efficiency (se) and average coverage probability, and it is compared against a lower-complexity and physically intuitive modular architecture, utilizing a codebook-based discrete optimization technique. numerical results demonstrate that properly designed cems lead to a remarkable improvements in average se and coverage probability, namely when the direct path is blocked.",2024-05-15
"23",23,"design and implementation of mmwave surface wave enabled fluid antennas and experimental results for fluid antenna multiple access","yuanjun shen, boyi tang, shuai gao, kin-fai tong, hang wong, kai-kit wong, yangyang zhang","signal processing (eess.sp)","while multiple-input multiple-output (mimo) technologies continue to advance, concerns arise as to how mimo can remain scalable if more users are to be accommodated with an increasing number of antennas at the base station (bs) in the upcoming sixth generation (g). recently, the concept of fluid antenna system (fas) has emerged, which promotes position flexibility to enable transmitter channel state information (csi) free spatial multiple access on one radio frequency (rf) chain. on the theoretical side, the fluid antenna multiple access (fama) approach offers a scalable alternative to massive mimo spatial multiplexing. however, fama lacks experimental validation and the hardware implementation of fas remains a mysterious approach. the aim of this paper is to provide a novel hardware design for fas and evaluate the performance of fama using experimental data. our fas design is based on a dynamically reconfigurable ""fluid"" radiator which is capable of adjusting its position within a predefined space. one single-channel fluid antenna (scfa) and one double-channel fluid antenna (dcfa) are designed, electromagnetically simulated, fabricated, and measured. the measured radiation patterns of prototypes are imported into channel and network models for evaluating their performance in fama. the experimental results demonstrate that in the g millimeter-wave (mmwave) bands (- ghz), the fas prototypes can vary their gain up to an averaged value of  dbi. in the case of -user fama, the double-channel fas can significantly reduce outage probability by % and increases the multiplexing gain to . when compared to a static omnidirectional antenna.",2024-05-15
"24",24,"harnessing pattern-by-pattern linear classifiers for prediction with missing data","angel d reyero lobo, alexis ayme (lpsm), claire boyer (lpsm), erwan scornet (lpsm)","statistics theory (math.st)","missing values have been thoroughly analyzed in the context of linear models, where the final aim is to build coefficient estimates. however, estimating coefficients does not directly solve the problem of prediction with missing entries: a manner to address empty components must be designed. major approaches to deal with prediction with missing values are empirically driven and can be decomposed into two families: imputation (filling in empty fields) and pattern-by-pattern prediction, where a predictor is built on each missing pattern. unfortunately, most simple imputation techniques used in practice (as constant imputation) are not consistent when combined with linear models. in this paper, we focus on the more flexible pattern-by-pattern approaches and study their predictive performances on missing completely at random (mcar) data. we first show that a pattern-by-pattern logistic regression model is intrinsically ill-defined, implying that even classical logistic regression is impossible to apply to missing data. we then analyze the perceptron model and show how the linear separability property extends to partially-observed inputs. finally, we use the linear discriminant analysis to prove that pattern-by-pattern lda is consistent in a high-dimensional regime. we refine our analysis to more complex mnar data.",2024-05-15
"25",25,"theorizing deception: a scoping review of theory in research on dark patterns and deceptive design","weichen joe chang, katie seaborn, andrew a. adams","human-computer interaction (cs.hc)","the issue of dark patterns and deceptive designs (dps) in everyday interfaces and interactions continues to grow. dps are manipulative and malicious elements within user interfaces that deceive users into making unintended choices. in parallel, research on dps has significantly increased over the past two decades. as the field has matured, epistemological gaps have also become a salient and pressing concern. in this scoping review, we assessed the academic work so far --  papers between  to  -- to identify the state of theory in dp research. we identified the key theories employed, examined how these theories have been referenced, and call for enhancing the incorporation of theory into dp research. we also propose broad theoretical foundations to establish a comprehensive and solid base for contextualizing and informing future dp research from a variety of theoretical scopes and lenses.",2024-05-14
"26",26,"deceptive, disruptive, no big deal: japanese people react to simulated dark commercial patterns","katie seaborn, tatsuya itagaki, mizuki watanabe, yijia wang, ping geng, takao fujii, yuto mandai, miu kojima, suzuka yoshida","human-computer interaction (cs.hc)","dark patterns and deceptive designs (dps) are user interface elements that trick people into taking actions that benefit the purveyor. such designs are widely deployed, with special varieties found in certain nations like japan that can be traced to global power hierarchies and the local socio-linguistic context of use. in this breaking work, we report on the first user study involving japanese people (n=) experiencing a mock shopping website injected with simulated dps. we found that alphabet soup and misleading reference pricing were the most deceptive and least noticeable. social proofs, sneaking in items, and untranslation were the least deceptive but untranslation prevented most from cancelling their account. mood significantly worsened after experiencing the website. we contribute the first empirical findings on a japanese consumer base alongside a scalable approach to evaluating user attitudes, perceptions, and behaviours towards dps in an interactive context. we urge for more human participant research and ideally collaborations with industry to assess real designs in the wild.",2024-05-14
"27",27,"efficienttrain++: generalized curriculum learning for efficient visual backbone training","yulin wang, yang yue, rui lu, yizeng han, shiji song, gao huang","computer vision and pattern recognition (cs.cv)","the superior performance of modern visual backbones usually comes with a costly training procedure. we contribute to this issue by generalizing the idea of curriculum learning beyond its original formulation, i.e., training models using easier-to-harder data. specifically, we reformulate the training curriculum as a soft-selection function, which uncovers progressively more difficult patterns within each example during training, instead of performing easier-to-harder sample selection. our work is inspired by an intriguing observation on the learning dynamics of visual backbones: during the earlier stages of training, the model predominantly learns to recognize some 'easier-to-learn' discriminative patterns in the data. these patterns, when observed through frequency and spatial domains, incorporate lower-frequency components, and the natural image contents without distortion or data augmentation. motivated by these findings, we propose a curriculum where the model always leverages all the training data at every learning stage, yet the exposure to the 'easier-to-learn' patterns of each example is initiated first, with harder patterns gradually introduced as training progresses. to implement this idea in a computationally efficient way, we introduce a cropping operation in the fourier spectrum of the inputs, enabling the model to learn from only the lower-frequency components. then we show that exposing the contents of natural images can be readily achieved by modulating the intensity of data augmentation. finally, we integrate these aspects and design curriculum schedules with tailored search algorithms. the resulting method, efficienttrain++, is simple, general, yet surprisingly effective. it reduces the training time of a wide variety of popular models by .-.x on imagenet-k/k without sacrificing accuracy. it also demonstrates efficacy in self-supervised learning (e.g., mae).",2024-05-14
"28",28,"representing information on dna using patterns induced by enzymatic labeling","daniella bar-lev, tuvi etzion, eitan yaakobi, zohar yakhini","information theory (cs.it)","enzymatic dna labeling is a powerful tool with applications in biochemistry, molecular biology, biotechnology, medical science, and genomic research. this paper contributes to the evolving field of dna-based data storage by presenting a formal framework for modeling dna labeling in strings, specifically tailored for data storage purposes. our approach involves a known dna molecule as a template for labeling, employing patterns induced by a set of designed labels to represent information. one hypothetical implementation can use crispr-cas and grna reagents for labeling. various aspects of the general labeling channel, including fixed-length labels, are explored, and upper bounds on the maximal size of the corresponding codes are given. the study includes the development of an efficient encoder-decoder pair that is proven optimal in terms of maximum code size under specific conditions.",2024-05-14
